3000 3 
0.222 0.377 0.75
0.253 0.801 0.314
0.531 0.941 0.538
0.053 0.957 0.268
0.558 0.91 0.468
0.928 0.272 0.304
0.598 0.235 0.68
0.474 0.696 0.803
0.521 0.892 0.127
0.508 0.86 0.788
0.755 0.062 0.308
0.124 0.165 0.322
0.766 0.628 0.045
0.843 0.282 0.845
0.753 0.734 0.699
0.294 0.18 0.694
0.008 0.159 0.776
0.566 0.012 0.693
0.925 0.849 0.792
0.926 0.302 0.812
0.995 0.418 0.693
0.02 0.457 0.929
0.206 0.199 0.909
0.457 0.571 0.156
0.767 0.049 0.004
0.677 0.412 0.836
0.693 0.711 0.221
0.752 0.816 0.889
0.577 0.635 0.529
0.463 0.335 0.152
0.881 0.366 0.935
0.295 0.947 0.976
0.626 0.343 0.135
0.121 0.239 0.423
0.309 0.169 0.804
0.029 0.123 0.445
0.487 0.292 0.869
0.387 0.981 0.234
0.943 0.988 0.099
0.022 0.089 0.278
0.249 0.262 0.115
0.244 0.814 0.899
0.447 0.491 0.977
0.115 0.356 0.901
0.282 0.448 0.326
0.089 0.288 0.672
0.211 0.787 0.407
0.935 0.945 0.315
0.675 0.658 0.143
0.662 0.168 0.916
0.266 0.414 0.103
0.645 0.412 0.216
0.747 0.076 0.774
0.695 0.662 0.871
0.362 0.872 0.851
0.181 0.732 0.527
0.881 0.942 0.674
0.477 0.559 0.013
0.363 0.997 0.225
0.908 0.934 0.209
0.624 0.594 0.891
0.798 0.444 0.785
0.276 0.658 0.224
0.994 0.362 0.772
0.889 0.917 0.94
0.477 0.554 0.517
0.137 0.393 0.911
0.718 0.547 0.9
0.121 0.579 0.104
0.083 0.327 0.937
0.332 0.133 0.306
0.051 0.091 0.486
0.249 0.568 0.123
0.373 0.006 0.193
0.794 0.842 0.144
0.974 0.362 0.768
0.967 0.817 0.007
0.446 0.074 0.957
0.719 0.102 0.348
0.542 0.793 0.758
0.058 0.305 0.135
0.521 0.577 0.428
0.602 0.174 0.945
0.494 0.638 0.744
0.551 0.016 0.235
0.992 0.261 0.321
0.631 0.716 0.363
0.365 0.842 0.1
0.752 0.045 0.39
0.125 0.093 0.839
0.098 0.938 0.879
0.595 0.831 0.941
0.658 0.604 0.502
0.87 0.144 0.007
0.929 0.428 0.047
0.03 0.14 0.399
0.746 0.098 0.728
0.505 0.25 0.095
0.278 0.475 0.564
0.051 0.306 0.449
0.665 0.299 0.012
0.768 0.107 0.75
0.242 0.569 0.449
0.411 0.252 0.261
0.499 0.932 0.419
0.074 0.343 0.066
0.965 0.79 0.208
0.677 0.083 0.053
0.414 0.219 0.985
0.147 0.462 0.524
0.593 0.933 0.946
0.195 0.597 0.766
0.3 0.438 0.656
0.955 0.51 0.608
0.775 0.893 0.874
0.679 0.313 0.348
0.285 0.487 0.176
0.281 0.12 0.281
0.523 0.57 0.733
0.241 0.563 0.784
0.321 0.407 0.664
0.273 0.337 0.788
0.292 0.75 0.804
0.714 0.152 0.32
0.56 0.077 0.938
0.208 0.888 0.629
0.074 0.611 0.912
0.675 0.876 0.989
0.623 0.214 0.512
0.056 0.51 0.293
0.866 0.238 0.376
0.832 0.148 0.872
0.871 0.307 0.279
0.398 0.443 0.012
0.188 0.046 0.646
0.394 0.328 0.895
0.402 0.027 0.38
0.141 0.178 0.178
0.736 0.856 0.21
0.754 0.963 0.509
0.224 0.093 0.609
0.518 0.467 0.334
0.751 0.514 0.591
0.758 0.742 0.691
0.003 0.13 0.52
0.177 0.363 0.279
0.685 0.165 0.539
0.787 0.019 0.271
0.303 0.879 0.85
0.185 0.067 0.567
0.689 0.55 0.76
0.862 0.301 0.832
0.359 0.82 0.374
0.509 0.004 0.162
0.903 0.567 0.07
0.041 0.496 0.442
0.454 0.165 0.068
0.845 0.087 0.691
